from,to,distance,road_type,road_name,oneway
249497605,9179599575,14.622312799933665,residential,4th Cross Street,False
249497606,9179599579,51.77844138348357,residential,3rd Cross Street,False
249497606,249493611,319.30172684022125,residential,Gandhi Nagar 1st Main Road,True
249497607,9179599577,55.35905822212792,residential,3rd Cross Street,False
249497607,9179599579,49.902301589684356,residential,3rd Cross Street,False
249497607,249497585,318.7543159105477,residential,Gandhi Nagar 2nd Main Road,False
249497607,249497599,141.44895695496947,residential,Gandhi Nagar 2nd Main Road,False
249497608,9179599583,57.73792861016911,residential,3rd Cross Street,False
249497608,9179599577,44.341424001718906,residential,3rd Cross Street,False
249497608,249497598,139.90273319778456,residential,Gandhi Nagar 3rd Main Road,False
249497608,249493601,321.54280765253134,residential,Gandhi Nagar 3rd Main Road,False
249497609,249497872,112.05637970198407,residential,2nd Main Road,False
249497609,249497866,101.71497138515568,residential,Crescent Avenue,False
249497609,249497620,111.09692754312752,residential,Crescent Avenue,False
249497609,249497633,78.44392350814553,residential,2nd Main Road,False
249497610,249497587,99.23403623375314,residential,1st Cross Street,False
249497610,13327985346,27.91332118434433,residential,Gandhi Nagar 1st Main Road,True
249497618,6451636068,26.356639672407905,residential,Gandhi Nagar 4th Main Road,True
249497619,249497587,94.34620968527491,residential,1st Cross Street,False
249497619,11042266858,100.0532207056185,residential,Gandhi Nagar 3rd Main Road,False
249497619,249497593,103.50107691990931,residential,Gandhi Nagar 3rd Main Road,False
249497620,249497609,111.09692754312752,residential,Crescent Avenue,False
249497620,249497628,105.70383654517303,residential,3rd Main Road,False
249497620,249493617,111.1785064188328,residential,Crescent Avenue,False
249497628,249497629,107.99745128757615,residential,B. Ramachandra Adithanar Road,False
249497628,249493617,116.30016585802917,residential,B. Ramachandra Adithanar Road,False
249497628,249497620,105.70383654517306,residential,3rd Main Road,False
249497629,249493602,97.83892850528616,residential,B. Ramachandra Adithanar Road,False
249497629,249497628,107.99745128757615,residential,B. Ramachandra Adithanar Road,False
249497629,12100200896,84.15414297354252,residential,2nd Main Road,False
249497633,249497609,78.44392350814553,residential,2nd Main Road,False
249497633,12100200896,49.216044824130385,residential,2nd Main Road,False
249497633,9179599586,103.08038135094063,residential,,False
249497655,312024954,127.9409090781234,residential,Govindarajapuram 1st Street,False
249497655,9931546811,11.209490696587839,residential,,False
249497655,312024952,42.760472959244936,primary,Sardar Patel Road,True
249497656,11066130875,39.9718164875652,residential,Kasturibai Nagar 1st Cross Street,False
249497656,257432741,195.69420242795508,primary,Sardar Patel Road,True
249497661,257431351,273.77597954502744,secondary,Adyar Flyover,True
249497661,12156971224,500.5345707671456,primary,Adyar Flyover,False
249497661,12156971222,293.0728807295028,primary,Adyar Flyover,False
249497688,313774937,31.416634466500806,residential,Arunachalapuram Main Road,False
249497688,249497690,79.75423349938238,primary,Sardar Patel Road,True
249497690,249497692,42.639936159068306,primary,Sardar Patel Road,True
249497692,249497710,48.56274478971779,secondary,,True
249497692,249497694,52.32836272361678,primary,Sardar Patel Road,True
249497694,13911105867,132.56140261918316,primary,Sardar Patel Road,True
249497694,249497703,64.60427501131771,secondary,,True
249497698,11158572902,22.333593757625625,primary,Sardar Patel Road,True
249497698,12686795214,30.187277218298476,primary_link,,True
249497699,12686795213,15.32125822747184,secondary_link,,False
249497699,335535129,119.9571103080998,residential,1st Street,True
249497699,313775096,150.08578822965833,secondary_link,,True
249497703,243051711,89.57004293495083,primary,Durgabai Deshmukh Road,True
249497710,310580344,102.03207732979223,secondary,Besant Avenue Road,False
249497710,249497694,65.92730164042803,secondary,,True
249497716,249493600,21.019471420620945,secondary,Dr Muthulakshmi Salai,True
249497716,12156971222,259.3939411200253,primary,Sardar Patel Road,True
249497865,249497866,113.37104287081422,residential,Crescent Park 1st Main Road,False
249497866,249497609,101.71497138515568,residential,Crescent Avenue,False
249497866,249497865,113.37104287081422,residential,Crescent Park 1st Main Road,False
249497866,9179599586,115.65447574002951,residential,Crescent Park 1st Main Road,False
249497872,249497609,112.05637970198407,residential,2nd Main Road,False
249497874,2218345819,49.076495591578336,tertiary,East Kottur Canal Bank Road,False
249497874,249497877,61.644472595401936,tertiary,East Kottur Canal Bank Road,False
249497874,11773362725,47.58790346207418,residential,,False
249497877,11773362725,40.20538143811799,residential,,False
249497877,249497874,61.644472595401936,tertiary,East Kottur Canal Bank Road,False
249497877,334701818,109.44321829505161,tertiary,East Kottur Canal Bank Road,False
250363446,2237675832,12.395745205061804,residential,Shastri Street,False
250363446,10738744587,72.2727705958496,secondary,70 Feet Road,True
250363496,250363515,46.29537148171149,residential,Hospital Road,False
250363496,250363498,169.61939174423625,residential,,False
250363497,2168668966,31.350955854282557,secondary,70 Feet Road,True
250363497,7035475575,7.977529449713781,residential,,False
250363497,250363589,128.78126101388463,residential,Hospital Road,False
250363498,250363513,42.48392277602654,residential,Gandhi Street,False
250363498,250363496,169.61939174423625,residential,,False
250363498,2237675844,89.10244430998931,residential,,False
250363499,7035475569,10.293389997419075,residential,Gandhi Street,False
250363499,2237675838,35.77739475885476,secondary,70 Feet Road,True
250363499,250363500,81.7919133605777,residential,North Road,False
250363500,250363552,48.77321575603056,residential,West Road,False
250363500,11491395660,269.6791669630039,residential,North Road,False
250363500,250363499,81.7919133605777,residential,North Road,False
