id,latitude,longitude
257430067,12.9930857,80.252924
257430069,12.9920326,80.2530325
257430077,12.9907655,80.2559738
257430080,12.9968237,80.2548168
257430081,12.9966039,80.2543704
257430090,13.0035774,80.2688769
257430096,13.0027511,80.2720311
257430102,13.0021527,80.2719234
257430107,12.995433,80.2703889
257430108,13.0013081,80.2535263
257430109,13.0010709,80.2572029
257430111,13.0010602,80.2597986
257430115,13.0007847,80.2629123
257430116,13.000668,80.2642905
257430152,13.0038713,80.264224
257430158,12.9988263,80.2622809
257430159,12.9976568,80.2621093
257430160,12.9939562,80.2614789
257430162,12.9920299,80.2628565
257430164,12.9886509,80.2623655
257430165,12.9860383,80.2620046
257430167,12.9935633,80.2631107
257430168,12.9937195,80.261837
257430170,12.9847449,80.2618245
257431350,13.004797,80.2570973
257431351,13.0044401,80.2570846
257432613,12.9988579,80.2688626
257432615,12.9986181,80.2672507
257432616,12.9963409,80.2677641
257432634,12.9960214,80.2705133
257432702,13.0010294,80.2691208
257432704,13.0016482,80.2676875
257432708,13.0031729,80.2704295
257432709,13.000581,80.2690659
257432710,13.0003728,80.2708557
257432711,12.9992009,80.2707227
257432714,12.9987183,80.2700619
257432727,13.0023878,80.2599189
257432729,13.004716,80.2546258
257432730,13.0026092,80.2546197
257432738,13.0024706,80.2566565
257432740,13.0026135,80.2534243
257432741,13.0064802,80.2528666
257432742,13.0042884,80.2531896
257432743,13.0019169,80.2535185
257432745,13.0019705,80.2487869
257432748,12.9994917,80.2520337
257432750,12.9995056,80.256136
257432751,12.9991141,80.2595743
257432752,12.9978786,80.2594461
257432753,12.9980849,80.2577361
257432754,12.9900829,80.2582301
257432757,12.9892024,80.2613441
257432758,12.9861325,80.2609756
257432760,12.9908957,80.2615527
257432761,12.9921145,80.2616367
257432770,12.9814236,80.2573004
257432773,12.9856093,80.2578841
257432774,12.9858806,80.255455
257432778,12.983879,80.2549505
257433290,13.0023556,80.2621953
257433293,13.0017231,80.2575758
257433295,13.001831,80.2598954
257433297,13.0017929,80.2616059
257439198,12.9827366,80.2546692
257439202,12.9823189,80.2544442
257439255,12.9828249,80.2541381
257439272,12.9845314,80.2577404
257439279,12.9835678,80.2548769
257439290,12.9842706,80.2533554
257439302,12.9838272,80.2535111
257439306,12.9837959,80.2538446
257439313,12.9831089,80.2541895
257440271,12.9937387,80.2675303
257440275,12.9923723,80.2673078
257440279,12.9905777,80.2669598
257440286,12.9892826,80.2687814
257440290,12.9927609,80.2629831
257440296,12.9932028,80.2674435
257440304,12.9942665,80.2676149
257440311,12.9942126,80.2632065
257532684,13.0067102,80.2428614
258143348,13.0072092,80.2049444
262680543,13.0186328,80.2584509
262680551,13.0186359,80.2589563
262680559,13.0200975,80.2587917
262680563,13.0208801,80.2588599
262680567,13.0209684,80.2595208
262680574,13.0213039,80.2594675
262680575,13.0212648,80.257927
262680579,13.0211666,80.2579001
262680580,13.0213448,80.2573123
262680653,13.0212463,80.256225
262680675,13.019441,80.2559961
262680734,13.0216485,80.2580746
262680735,13.0217095,80.2593842
262680772,13.0222419,80.2583344
262680776,13.0223998,80.2572816
262680777,13.0233374,80.2576052
262680778,13.0227977,80.2573964
262680779,13.0230633,80.2565563
262680783,13.0219479,80.2536743
262680785,13.0216109,80.2529328
262680786,13.0206631,80.2549403
262680790,13.0211699,80.2550876
262680791,13.0214254,80.2541737
262680792,13.0214065,80.2537005
262680795,13.0217416,80.2552522
262680796,13.0213263,80.2562313
262680797,13.0213463,80.2556594
262680841,13.0236243,80.257629
264030929,13.0224585,80.2768892
264031376,13.0256672,80.2669083
264031581,13.0244657,80.2627709
264031582,13.0226561,80.2622456
264031584,13.0242804,80.262388
264031585,13.0243727,80.2624186
264031587,13.0236093,80.2625364
264031588,13.0241035,80.2608011
264031589,13.0245398,80.2592144
264031593,13.025074,80.2593178
264031594,13.0240362,80.2590516
264031595,13.0235657,80.2588409
264031598,13.0234585,80.2587268
264031599,13.0231034,80.2605087
264031600,13.0231374,80.262395
264031605,13.023621,80.260649
264031650,13.0242848,80.2627203
264031653,13.0249905,80.2610627
264031660,13.0237547,80.2606852
264031671,13.023382,80.2605879
264031706,13.0236868,80.2597151
264031709,13.0238353,80.2596044
264031718,13.0232067,80.2600569
264031726,13.0223078,80.2598134
264031751,13.0209982,80.2600074
264031790,13.020644,80.2595823
264031798,13.0209745,80.2604338
264031802,13.021236,80.2599948
264031848,13.0211422,80.2610365
264031850,13.02087,80.2616611
264031853,13.0210358,80.2610112
264031855,13.0209456,80.2616388
264031857,13.0207688,80.2628465
264031859,13.02018,80.2596719
264031876,13.0196876,80.2607139
264031891,13.0198607,80.2623645
264031896,13.0200615,80.2618897
264031905,13.019822,80.2617955
264031907,13.0199596,80.2612407
264031910,13.0194533,80.261142
264031934,13.0186432,80.2594325
264040103,13.0188027,80.2619541
264040104,13.0177276,80.2618761
